WEAK	21.0	VOLTAS WATER HEATER CRYSTA 255SPBGL	Voltas Crysta 5 Star Water Heater - 15L (2000 W)	MRP 17690 / 9350	4610024	1500x1500	voltas-crysta-5-star-water-heater-15l-2000-w	name=crysta	0.0	[{"handle":"voltas-crysta-5-star-water-heater-15l-2000-w","title":"Voltas Crysta 5 Star Water Heater - 15L (2000 W)","score":21,"reasons":["name=crysta"]},{"handle":"voltas-crysta-5-star-water-heater-25l-2000-w","title":"Voltas Crysta 5 Star Water Heater - 25L (2000 W)","score":21,"reasons":["name=crysta"]},{"handle":"voltas-aqua-m-water-heater-10-l-2000-w","title":"Voltas Aqua M Water Heater - 10 L (2000 W)","score":1,"reasons":[]}]
NONE	0	WTT75DGRT						no discriminating evidence	0	[]
NONE	0	Voltas 1.5T SAC 182 FS Prism (Non-Inverter)						type ac-split != ac-window	0	[]
MATCH	90.0	Voltas Stablizer VA 4170-170V-270V	Stabilizer VA4170 L - 170V-270V 4 KVA	MRP 3290 / 2300	9014171	1200x1200	stabilizer-va4170-l-170v-270v-4-kva	model=va4170	90.0	[{"handle":"stabilizer-va4170-l-170v-270v-4-kva","title":"Stabilizer VA4170 L - 170V-270V 4 KVA","score":90,"reasons":["model=va4170"]},{"handle":"protection-plan-1-year-for-split-air-conditioner","title":"Protection Plan 1 Year - For Split Inverter Air Conditioner","score":0,"reasons":[]},{"handle":"protection-plan-1-year-for-window-air-conditioner","title":"Protection Plan 1 Year - For Window Non-Inverter Air Conditioner","score":0,"reasons":[]}]
MATCH	99.0	Voltas Air Cooler Grand 72	Voltas Desert Air Cooler Grand 72	MRP 18190 / 12290	4810331	1080x1081	4810085-voltas-air-cooler-grand-72	model=grand72, name=grand	98.0	[{"handle":"4810085-voltas-air-cooler-grand-72","title":"Voltas Desert Air Cooler Grand 72","score":99,"reasons":["model=grand72","name=grand"]},{"handle":"4810229-voltas-air-cooler-mega-70","title":"Desert Air Cooler Mega 70","score":1,"reasons":[]},{"handle":"4810216-voltas-air-cooler-alfa-28","title":"Personal Air Cooler Alfa 28","score":1,"reasons":[]}]
NONE	0	RFF270D / 1W0V100RXID						no discriminating evidence	0	[]
WEAK	30.0	VOLTAS MINIMAGIC SPRING RV PLUS	Voltas Water Dispenser ISI Mark Minimagic Spring FV + White [With Storage Cabinet only]	MRP 12490 / 9450	6210382	1500x1500	voltas-water-dispenser-minimagic-spring-f	name=minimagic+spring	0.0	[{"handle":"voltas-water-dispenser-minimagic-spring-f","title":"Voltas Water Dispenser ISI Mark Minimagic Spring FV + White [With Storage Cabinet only]","score":30,"reasons":["name=minimagic+spring"]},{"handle":"voltas-water-dispenser-minimagic-spring-rv-blk","title":"Voltas Water Dispenser ISI Mark Minimagic Spring RV + Black [With Refrigerated Cabinet]","score":30,"reasons":["name=minimagic+spring"]},{"handle":"voltas-water-dispenser-minimagic-spring-tt-copy","title":"Voltas Water Dispenser ISI Mark Minimagic Spring RV+ White [With Refrigerated Cabinet]","score":30,"reasons":["name=minimagic+spring"]}]
NONE	0	Syncronous Motor (AUTOSWING)						source unsupported	0	[]
MATCH	90.0	MS20MPW10	20 L Smart Solo Microwave Oven (MS20MPW10, White | With Anti bacterial Inner Cavity and Large Turntable) , Voltas Beko, A Tata Product	MRP 9590 / 5950	1300016	1200x1200	20-l-smart-solo-microwave-oven-ms20mpw10-white-with-anti-bacterial-inner-cavity-and-large-turntable-voltas-beko-a-tata-product	model=ms20mpw10	78.0	[{"handle":"20-l-smart-solo-microwave-oven-ms20mpw10-white-with-anti-bacterial-inner-cavity-and-large-turntable-voltas-beko-a-tata-product","title":"20 L Smart Solo Microwave Oven (MS20MPW10, White | With Anti bacterial Inner Cavity and Large Turntable) , Voltas Beko, A Tata Product","score":90,"reasons":["model=ms20mpw10"]},{"handle":"20-l-convection-microwave-oven-10-power-levels-mc20sd-silver-voltas-beko-a-tata-product","title":"20 L Convection Microwave Oven, 10 power levels (MC20SD, Silver) , Voltas Beko, A Tata Product","score":12,"reasons":[]},{"handle":"protection-plan-1-year-for-split-air-conditioner","title":"Protection Plan 1 Year - For Split Inverter Air Conditioner","score":0,"reasons":[]}]
MATCH	99.0	Voltas Air Cooler Wind 54 WW	Voltas Window Air Cooler Wind 54 WW	MRP 10890 / 7590	4810390	1200x1200	voltas-window-air-cooler-wind-54-ww	model=wind54, name=wind	98.0	[{"handle":"voltas-window-air-cooler-wind-54-ww","title":"Voltas Window Air Cooler Wind 54 WW","score":99,"reasons":["model=wind54","name=wind"]},{"handle":"4810229-voltas-air-cooler-mega-70","title":"Desert Air Cooler Mega 70","score":1,"reasons":[]},{"handle":"4810216-voltas-air-cooler-alfa-28","title":"Personal Air Cooler Alfa 28","score":1,"reasons":[]}]
NONE	0	Voltas Stablizer VA1070- 1KVA-70V-290V						type stabiliser != washing-machine	0	[]
MATCH	39.0	Voltas WAC 122 FS Platina -  1	Voltas Window Air Conditioner, 1 Ton, 2 Star - 122FS Platina	MRP 32990 / 29500	4011571	1200x1200	voltas-window-air-conditioner-1-ton-2-star-122fs-platina	family=122fs, name=platina	38.0	[{"handle":"voltas-window-air-conditioner-1-ton-2-star-122fs-platina","title":"Voltas Window Air Conditioner, 1 Ton, 2 Star - 122FS Platina","score":39,"reasons":["family=122fs","name=platina"]},{"handle":"voltas-window-air-conditioner-1-5-ton-2-star-182fs-elite","title":"Voltas Window Air Conditioner, 1.5 Ton, 2 Star - 182FS Elite","score":1,"reasons":[]},{"handle":"voltas-window-air-conditioner-1-5-ton-2-star-182fs-pearl","title":"Voltas Window Air Conditioner, 1.5 Ton, 2 Star - 182FS Pearl","score":1,"reasons":[]}]
WEAK	21.0	Voltas Air Cooler Frost Air 60	Voltas Personal Air Cooler FROST AIR 45	MRP 11990 / 8290	4810442	2500x2500	voltas-personal-air-cooler-frost-air-45	name=frost	0.0	[{"handle":"voltas-personal-air-cooler-frost-air-45","title":"Voltas Personal Air Cooler FROST AIR 45","score":21,"reasons":["name=frost"]},{"handle":"voltas-personal-air-cooler-frost-air-45-copy","title":"Voltas Personal Air Cooler FROST AIR 60","score":21,"reasons":["name=frost"]},{"handle":"4810229-voltas-air-cooler-mega-70","title":"Desert Air Cooler Mega 70","score":1,"reasons":[]}]
NONE	0	EPIC MOTOR						source unsupported	0	[]
NONE	0	VBBSACC210BLK						no discriminating evidence	0	[]
WEAK	19.0	VOLTAS WATER HEATER AQUA PRIME 104 VPBSI	Voltas Aqua Prime 4 Star Water Heater - 10L (2000 W)	MRP 11790 / 5990	4610034	1500x1500	voltas-aqua-prime-4-star-water-heater-10l-2000-w	name=aqua+prime	0.0	[{"handle":"voltas-aqua-prime-4-star-water-heater-10l-2000-w","title":"Voltas Aqua Prime 4 Star Water Heater - 10L (2000 W)","score":19,"reasons":["name=aqua+prime"]},{"handle":"voltas-aqua-prime-4-star-water-heater-15l-2000-w","title":"Voltas Aqua Prime 4 Star Water Heater - 15L (2000 W)","score":19,"reasons":["name=aqua+prime"]},{"handle":"voltas-aqua-prime-4-star-water-heater-25l-2000-w","title":"Voltas Aqua Prime 4 Star Water Heater - 25L (2000 W)","score":19,"reasons":["name=aqua+prime"]}]
NONE	0	BDACC220/000/000(3/4/5)BLUE.						no discriminating evidence	0	[]
NONE	0	Voltas WD Minimagic Pearl RB						no discriminating evidence	0	[]
NONE	0	RDC245B / 3W0DGE0M000UGD (3 STAR)						no discriminating evidence	0	[]
MATCH	99.0	Voltas Air Cooler JetMax 70	Voltas Desert Air Cooler JetMax 70	MRP 18190 / 12090	4810348	1080x1081	4810232-voltas-air-cooler-jetmax-70	model=jetmax70, name=jetmax	98.0	[{"handle":"4810232-voltas-air-cooler-jetmax-70","title":"Voltas Desert Air Cooler JetMax 70","score":99,"reasons":["model=jetmax70","name=jetmax"]},{"handle":"4810229-voltas-air-cooler-mega-70","title":"Desert Air Cooler Mega 70","score":1,"reasons":[]},{"handle":"4810216-voltas-air-cooler-alfa-28","title":"Personal Air Cooler Alfa 28","score":1,"reasons":[]}]
MATCH	99.0	VOLTAS AIR COOLER TEJAS 110	Voltas Desert Air Cooler TEJAS 110	MRP 21990 / 14790	4810441	2500x2500	voltas-desert-air-cooler-tejas-110	model=tejas110, name=tejas	98.0	[{"handle":"voltas-desert-air-cooler-tejas-110","title":"Voltas Desert Air Cooler TEJAS 110","score":99,"reasons":["model=tejas110","name=tejas"]},{"handle":"4810229-voltas-air-cooler-mega-70","title":"Desert Air Cooler Mega 70","score":1,"reasons":[]},{"handle":"4810216-voltas-air-cooler-alfa-28","title":"Personal Air Cooler Alfa 28","score":1,"reasons":[]}]
NONE	0	G5003HP-WH						no discriminating evidence	0	[]
